r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.321666002273559570e-01,5.321666002273559570e-01,4.024663269519805908e-01,4.964517354965209961e-01,7.760000228881835938e+00,7.800000190734863281e+00,-1.000000000000000000e+00,4.990000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.097750663757324219e+00,1.578236818313598633e+00,6.000000052154064178e-03,0.000000000000000000e+00,4.838494658470153809e-01,2.049048423767089844e+00
5.347667336463928223e-01,5.347667336463928223e-01,3.982667028903961182e-01,5.007463097572326660e-01,7.722000122070312500e+00,6.500000000000000000e+00,-1.000000000000000000e+00,4.990000000000000000e+02,1.000000000000000000e+01,4.950000000000000000e+02,1.000000000000000000e+01,2.097485780715942383e+00,1.597949981689453125e+00,1.200000010430812836e-02,0.000000000000000000e+00,4.874331355094909668e-01,4.321722030639648438e+00
5.584492683410644531e-01,5.584492683410644531e-01,3.986153006553649902e-01,5.168347954750061035e-01,7.892000198364257812e+00,7.599999904632568359e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.970000000000000000e+02,1.000000000000000000e+01,2.089872598648071289e+00,1.561884045600891113e+00,6.000000052154064178e-03,0.000000000000000000e+00,5.000898241996765137e-01,6.394834518432617188e+00
5.658847093582153320e-01,5.658847093582153320e-01,4.012389481067657471e-01,5.385097861289978027e-01,8.062000274658203125e+00,7.699999809265136719e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.990000000000000000e+02,1.000000000000000000e+01,2.083379507064819336e+00,1.531952619552612305e+00,6.000000052154064178e-03,0.000000000000000000e+00,5.201289653778076172e-01,8.464515686035156250e+00
5.658847093582153320e-01,5.395859479904174805e-01,3.900718688964843750e-01,5.285529494285583496e-01,8.166000366210937500e+00,7.599999904632568359e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.950000000000000000e+02,1.000000000000000000e+01,2.076257705688476562e+00,1.642930507659912109e+00,4.000000189989805222e-03,0.000000000000000000e+00,5.161082148551940918e-01,1.055426216125488281e+01
6.216766238212585449e-01,6.216766238212585449e-01,3.888830840587615967e-01,5.466256737709045410e-01,8.250000000000000000e+00,7.500000000000000000e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.950000000000000000e+02,1.000000000000000000e+01,2.060169219970703125e+00,1.574233651161193848e+00,2.000000094994902611e-03,0.000000000000000000e+00,5.186496376991271973e-01,1.255511665344238281e+01
6.216766238212585449e-01,5.562178492546081543e-01,3.746591210365295410e-01,5.330055356025695801e-01,8.475999832153320312e+00,8.000000000000000000e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.970000000000000000e+02,1.000000000000000000e+01,2.070700407028198242e+00,1.458157300949096680e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.206023454666137695e-01,1.456921386718750000e+01
6.216766238212585449e-01,5.497096776962280273e-01,3.655533194541931152e-01,5.385283231735229492e-01,8.552000045776367188e+00,7.400000095367431641e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,4.960000000000000000e+02,1.000000000000000000e+01,2.060600519180297852e+00,1.540583014488220215e+00,8.000000379979610443e-03,0.000000000000000000e+00,5.264811515808105469e-01,1.657969856262207031e+01
6.216766238212585449e-01,5.669569969177246094e-01,3.667205274105072021e-01,5.397630929946899414e-01,8.930000305175781250e+00,8.100000381469726562e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.072758674621582031e+00,1.535290837287902832e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.282542109489440918e-01,1.859680557250976562e+01
6.216766238212585449e-01,5.743237733840942383e-01,3.568518757820129395e-01,5.401699542999267578e-01,9.227999687194824219e+00,9.600000381469726562e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.067374706268310547e+00,1.530498862266540527e+00,2.000000094994902611e-03,0.000000000000000000e+00,5.295765995979309082e-01,2.059512519836425781e+01
6.216766238212585449e-01,5.556566715240478516e-01,3.553427457809448242e-01,5.394390225410461426e-01,9.430000305175781250e+00,9.000000000000000000e+00,-1.000000000000000000e+00,5.000000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+02,1.000000000000000000e+01,2.076610565185546875e+00,1.586642861366271973e+00,8.000000379979610443e-03,0.000000000000000000e+00,5.319630503654479980e-01,2.283113861083984375e+01
