expr_str,reward,MSE,complexity
-x0*x2 + 1.3*x3 - 0.33,0.023542762242164634,1551.8997,5
-0.99*x0*x2 - 0.22*x0 + 1.31*x3 - 0.33,0.023075892556392693,1551.6747,7
-x0*x2 - 0.65*x0/x3 + 1.3*x3 - 0.26,0.022642274323203995,1548.0801,9
-x0*x2 + 1.3*x3 - 5.59*cos(2.31*x3) - 0.35,0.022276783119791765,1535.9769,11
-x0*x2 + 1.3*x3 - 0.33 + (-0.96*x0 - 0.11*x2 + 0.54)/(1.45*x3 + 5.98),0.021624876002835223,1534.559,14
-x0*x2 + 1.3*x3 - 0.28 - (-0.77*x0 + 1.81*x2 - 25.31)/(-1.01*x3 - 5.69),0.02141383351329159,1533.7938,15
-x0*x2 + 1.3*x3 + 9.41*sin(0.99*x0*x2 - 1.14*x3 + 1.25)*cos(0.66*x1) - 0.23,0.020389547105362334,1529.9075,20
-x0*x2 + 1.32*x3 + 9.4*sin(0.99*x0*x2 - 1.14*x3 + 1.25)*cos(0.66*x1) - 0.23 - 0.48*x3/x2,0.019587593568928367,1529.671,24
-x0*x2 + 1.29*x3 + 9.4*sin(0.99*x0*x2 - 1.14*x3 + 1.24)*cos(0.66*x1) + 0.98*tanh(2.49*x3) - 0.19,0.019392686427548694,1529.5143,25
-x0*x2 + 1.3*x3 + 5.01*sin(1.31*x3) - 8.72*sin(-x0*x2 + 1.29*x3 + 0.26)*cos(1.24*x1) - 0.51,0.01924281161914374,1522.3407,26
-x0*x2 + 1.3*x3 - 10.43*sin(0.08*x0*x2 + 0.68*x3 + 1.14)*cos(0.87*x1) - 6.07*cos(1.06*x0*x2 - 0.3*x3 + 0.25) - 0.41,0.01856991942847183,1508.0219,30
-29.83*x0 + 1.73*x3 - 0.99,0.012454304768936258,5795.7217,4
0.428083750000000,0.0036432188986807623,74792.7,0
