expr_str,reward,MSE,complexity
-x0*x2 + 1.12*x3,0.040604397217042135,513.3595,4
-0.99*x0*x2 - 0.36*x0 + 1.11*x3 + 0.07,0.039421373374055796,512.7351,7
-0.98*x0*x2 - 0.56*x0 + 0.1*x1 + 1.12*x3,0.039031513961332406,512.61566,8
-x0*x2 + 1.11*x3 + 1.82*cos(3.01*x1),0.03828978530963625,511.63763,10
-x0*x2 + 1.1*x3 + 0.22*x3/(48.48 - 1.16*x2) + 0.03,0.03795532288502952,510.275,11
-x0*x2 - 0.06*x1 - 0.24*x1/(x2*cos(2.0*x2)) + 1.1*x3 + 0.07,0.036103549853346045,510.0266,16
-x0*x2 + 1.11*x3 + 1.8*sin(0.9*x3) + 0.71*cos(0.71*x2) + 0.71,0.03578153884701673,508.8655,17
-x0*x2 - 0.23*x1/(x2*cos(2.0*x2)) + 1.11*x3 + 2.04*sin(1.96*x2),0.03509207716630615,508.18152,19
-0.99*x0*x2 + 1.09*x3 - 0.99*cos(0.99*x2) - 4.6*tanh(0.99*cos(10.22*x2) - 0.48) - 0.99,0.03491164142922843,492.55743,21
-x0*x2 + 1.11*x3 + 3.98*cos(0.4*x0*(-1.01*x2 + 1.73*log(1.09*x2) + 0.49)) + 0.12,0.034830197444040346,505.47162,20
21.4600000000000,0.0068238852088373025,21183.08,0
