expr_str,reward,MSE,complexity
-0.99*x0*x2 + 19.89*x1 + 1.03*x3 - 0.34,0.1727250760355739,19.326895,7
-0.99*x0*x2 + 19.88*x1 - 0.02*x2 + 1.04*x3 + 0.03,0.16931817385852782,19.318398,9
-0.63*x0*(1.54*x2 + 1.2) + 0.31*x1*(64.97 - 0.05*x2) + 1.01*x3 - 0.25,0.1646123335059087,19.225426,12
-0.99*x0*x2 + 19.89*x1 + 1.04*x3 + 0.23*cos(1.03*x2) - 0.48*cos(1.05*x0 + 2.09) - 0.41,0.15201945368497266,19.186836,20
-x0*x2 + 19.9*x1 + 1.04*x3 - (0.17*x1 + 2.15)/(0.9*x0 + 0.3*x2 + 4.67) + 0.41*sin(1.06*x0) - 0.19,0.1490788560006078,19.1601,22
-0.99*x0*x2 + 19.89*x1 + 1.04*x3 + 0.4*sin(1.05*x0) + 0.42*cos(1.8*x0) + 0.18*cos(0.4*x2) - 0.44,0.14471703101415642,19.138649,25
-x0*x2 + 19.92*x1 + x3 + 0.37*sin(1.06*x0) + 0.37*sin(1.95*x0)*sign(-0.39*x0*x2 + 19.67*x1 + 0.69*x3 + 7.14) + 0.03,0.13628702824219785,19.125257,31
-1.03*x0*x2 + 20.73*x1 + 8.12,0.11774046650053761,50.083965,5
-38.01*x0 + 35.66*x1 - 0.12,0.033436520628490604,768.8945,4
-0.147660290000000,0.012550787739626541,6189.956,0
