expr_str,reward,MSE,complexity
x0*x1 - 2.99*x2 - 0.15,0.23431376639234922,9.355144,5
x0*x1 - 2.9*x2 - 3.4 + 30.69/x2,0.22751282354795793,9.337865,8
0.99*x0*x1*x2/(1.01*x2 - 0.26) - 2.95*x2 - 0.87,0.22314008553102033,9.320681,10
x0*x1 - 2.96*x2 - 0.35*sin(0.33*x2) - 0.68,0.2209466551808089,9.316428,11
x0*x1 - 2.99*x2 - 0.02 + 0.102739726027397/x1,0.2188790789856256,9.300399,12
-2.86*x2 - 4.38 + (0.99*x0*x1*x2 + 0.21*x3 + 30.48)/(0.26 - x2),0.20818966675863126,9.29591,17
x0*x1 + 0.08*x1/x2 - 2.99*x2 - 0.45*sin(1.02*cosh(x1)) - 0.02,0.20646402968782504,9.253356,18
x0*x1 + 0.08*x1/x2 - 2.99*x2 - 0.53*sin(1.02*cosh(x1)) + 0.19*cos(0.91*x0),0.19679923054211249,9.196715,23
x0*x1 - 0.06*x1/x2 - 2.99*x2 + 0.38*cos(2.56*x3) - 0.13 + 0.39*x3/(x0*Abs(-0.29*x0*x1 + 2.99*x2 + 0.13)),0.18532366211957474,9.191293,29
0.88*x1**2 - 56.86,0.06918091806540336,166.03029,4
-0.610611800000000,0.014736950932489156,4469.8105,0
