expr_str,reward,MSE,complexity
-9.95*x0 + 0.99*x1*x2**2 + 10.01*x1 - 0.02,0.5600841278882409,0.39820614,9
-8.43*x0 - 1.07*x1*x2 + 8.73*x1 + 0.06,0.558326132894141,0.44808605,7
-10.0118*x0 + 0.98*x1*x2**2 + 10.0118*x1 + 0.00579999999999997,0.5434583065370532,0.39817116,12
-11.21*x0 + 0.99*x1*x2**2 + 9.94*x1 + 4.58*sin(0.3*x0),0.5334213773528641,0.3951751,14
-0.04*x0*x2 - 10.17*x0 + 0.95*x1*x2**2 - 0.17*x1*x2 + 10.01*x1 - 0.02,0.5283343309943258,0.39421776,15
-10.03*x0 + 0.04*x1*x2**3 + 1.22*x1*x2**2 + 0.36*x1*x2 + 10.19*x1 - 0.02,0.5189874416666124,0.38963476,17
-9.4*x0 + 0.99*x1*x2**2 + 9.94*x1 + 2.39*sin(0.8*x0) - 3.74*tanh(3.68*sin(0.19*x0)),0.48872987443014915,0.389164,23
-10.03*x0 + 0.89*x1*x2**2 - 0.13*x1*x2 + 10.02*x1 - 6.46*sin(0.02*x1*x2) + 5.83*cos(0.72*x2)*tanh(0.03*x1*x2) - 0.01,0.45556829302458485,0.38898563,30
-10.05*x0 + 0.9*x1*x2**2 - 0.61*x1*x2 + 10.18*x1 + 4.72*sin(0.04*x1*x2)*cos(0.76*x2) + 4.22*sin(0.11*x1*x2) - 0.05,0.45117054021650305,0.388277,31
2.34*x2*(1.06*x0 - 2.51*x1) - 0.12,0.2714503596151487,6.092666,6
1.37*x1*x2**2 + 1.56,0.11670928348534532,51.099148,5
0.411634400000000,0.064970854980227,207.11575,0
