expr_str,reward,MSE,complexity
-0.37*x0 + 3.21*x1,0.9381134864582166,0.003059132,3
-0.4*x0 + 9.9*x1*x2 + 1.01*x1,0.9278403147953594,0.00021610844,6
-0.3952*x0 + 9.9*x1*x2 + 0.9994*x1 + 0.0014,0.9185619138876474,0.00021610837,7
-0.4*x0 + 9.9*x1*x2 + 0.94*tanh(1.08*x1),0.9002962590407748,0.00021565372,9
-0.4*x0 + 9.31*x1*x2*exp(0.14*x2) + 1.07*x1,0.8823866862439123,0.00021544023,11
-0.4*x0 + 1.05*x1 + 9.47*x2*tanh(1.01*x1*exp(0.08*x2)),0.8561933387802871,0.00021493887,14
-0.4*x0 - 3.76*x1*x2*(1.21*x2 - 2.43)*exp(0.73*x2) + 0.98*tanh(1.11*x1),0.8307694151378604,0.00021472854,17
-0.00725224150000000,0.8199525373436825,0.0482166,0
-0.4*x0 + 2.2*x1 + 0.84*exp(0.21*x2)*sin(0.61*x1*(19.56*x2 - 3.17 + exp(-1.4*x2))),0.7821539825470475,0.00021468788,23
9.95*x1*x2 - (1.05*x0 - 2.86*x1*(1.36*x2 + 0.02 + exp(-2.39*x2)) + 0.02)/(-0.66*x2 + 2.0*exp(0.15*x2) + 0.67),0.7589243971533606,0.00021464204,26
10.66*x2*tanh(1.02*x1) + (-0.78*x0 + 2.09*x1*(0.69*x2 + 0.05 + exp(-2.66*x2)))/(-0.3*x2 + 2.0*exp(0.02*x2)),0.7513521520451708,0.00021396994,27
