expr_str,reward,MSE,complexity
-0.99*x0*x2 + 0.99*x0 - 0.85*x1,0.9293681855611108,0.0001698453,6
-x0*x2 + 0.99*x0 - 2.47*sin(0.34*x1),0.8927529579859818,0.00016968009,10
-x0*x2 + 0.99*x0 - 0.85*x1*cos(0.18*x1),0.8838265312822357,0.00016964716,11
-x0*x2 + 0.99*x0 + 0.14*x1*cosh(0.44*x1) - 0.99*x1,0.8749883479950354,0.00016964469,12
x2/(0.02*x1*x2 + x2/(-0.99*x0*x2 + 0.99*x0 - 0.84*x1)),0.8490026859568837,0.00016957113,15
-0.99*x0*x2 + 0.99*x0 + 0.1512*x1**2 - 0.99*tanh(0.83*x1),0.8405180827115529,0.00016940093,16
-0.99*x0*x2 + 0.99*x0 + 0.12*x1 - 2.04*sin(1.01*x1) + 1.01*tanh(1.08*x1),0.8321190243113061,0.00016920696,17
-0.22*x0 - 0.01*x2 + 0.02,0.8114179844128883,0.048437998,4
0,0.8080859880390445,0.056402482,0
-0.99*x0*x2 + 0.99*x0 - 0.98*sin(0.84*x1) - sin(1.02*x1) + 1.03*tanh(0.97*x1),0.7993310532204649,0.00016917931,21
