expr_str,reward,MSE,complexity
0.389*x*cosh(0.949*x - 2.985) + 0.503,0.8571633125350029,0.0076358975,7
-0.197*x + 1.413*tanh(3.451*x**2) + 0.804,0.8459793981748188,0.0063734544,9
-0.963 + (3.721*x + 1.632)/(3.217 - 2.083*cos(0.809*x)),0.837130283736663,0.0048348033,11
-0.282 + 1.703*cosh(2.081*x)/(-1.799*x + 1.06*cosh(2.013*x) + 0.653),0.8323070663500158,0.0019167245,14
0.601 + 11.698*tanh(1.804*x)/(9.164 - 1.732*sin(1.879*x)),0.8246314377097338,0.0041135857,13
(2.146*cosh(2.081*x) + 0.618)/(-1.749*x + 1.1*cosh(2.012*x) + 0.867) - 0.717,0.8243204710827519,0.0018796002,15
-0.249*x*(1.432*x - 5.614)*cos(2.092*x) - 1.267*cos(2.162*x) + 1.94,0.8169527691878286,0.0017838988,16
(1.98*x + 0.671*sin(2.299*x) - 0.488)/(0.929*x**2 - 1.066*x + 1.773) + 0.902,0.8093852557266693,0.0017190161,17
1.79600000000000,0.7991966587947069,0.06312982,0
0.027*x + 1.751,0.7917777512524667,0.06267556,2
0.97*x - (0.752463*x - 1.148023*cos(2.595*x) + 0.68324)*tanh(0.703*x) - 1.064*cos(2.573*x) + 1.725,0.7788702793008112,0.0015696171,21
